address,suburb,postcode,roof_type,green_area
480-490 Collins Street,Melbourne (CBD),3000,Flat,42.46119943963264
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,42.46119943963264
348-358 La Trobe Street,Melbourne (CBD),3000,Flat,132.00864797366987
Centro Apartments 348-358 La Trobe Street,Melbourne (CBD),3000,Flat,132.00864797366987
306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
Elm Towers Apartments 306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
27-39 MacKenzie Street,Melbourne (CBD),3000,Flat,105.86209898564618
MacKenzie Tower 27-39 MacKenzie Street,Melbourne (CBD),3000,Flat,159.02294622051886
380-386 Little Lonsdale Street,Melbourne (CBD),3000,Flat,348.0147964756849
La Banque Apartments 380-386 Little Lonsdale Street,Melbourne (CBD),3000,Flat,326.0154656449579
10-12 Collins Street,Melbourne (CBD),3000,Flat,348.0147964756849
180-184 Flinders Lane,Melbourne (CBD),3000,Flat,260.13046760887823
14-16 Watson Place,Melbourne (CBD),3000,Flat,348.0147964756849
591-593 Elizabeth Street,North Melbourne,3000,Flat,215.9527138449812
189-203 William Street,Melbourne (CBD),3000,Flat,306.456304260656
258-260 Flinders Lane,Melbourne (CBD),3000,Flat,2.6388869927204803
1-9 Highlander Lane,Melbourne (CBD),3000,Hip,731.9053438586534
46-74 Flinders Street,Melbourne (CBD),3000,Flat,720.780811073536
616-622 Little Collins Street,Melbourne (CBD),3000,Flat,214.89597598629337
472-482 Flinders Street,Melbourne (CBD),3000,Flat,763.6451066172492
224-252 La Trobe Street,Melbourne (CBD),3000,Flat,763.6451066172492
88-94 Franklin Street,Melbourne (CBD),3000,Gable,474.4017434721708
2 Collins Street,Melbourne (CBD),3000,Flat,763.6451066172492
151-165 Franklin Street,Melbourne (CBD),3000,Flat,763.6451066172492
304-306 Little Collins Street,Melbourne (CBD),3000,Flat,673.0290697705539
17 McKillop Street,Melbourne (CBD),3000,Hip,763.6451066172492
24-26 McLean Alley,Melbourne (CBD),3000,Gable,763.6451066172492
359-385 Bourke Street,Melbourne (CBD),3000,Flat,306.456304260656
114-120 Russell Street,Melbourne (CBD),3000,Flat,720.780811073536
Hero Apartments 114-120 Russell Street,Melbourne (CBD),3000,Flat,763.6451066172492
222-230 Victoria Street,North Melbourne,3000,Flat,392.0348152807254
459-475 Little Bourke Street,Melbourne (CBD),3000,Flat,425.2814864752142
634-640 Elizabeth Street,Carlton,3000,Flat,763.6451066172492
Elan Apartments 634-640 Elizabeth Street,Carlton,3000,Flat,3.656089871160823
635-639 Little Bourke Street,Melbourne (CBD),3000,Flat,747.9315958935698
Stadium Apartments 635-639 Little Bourke Street,Melbourne (CBD),3000,Flat,763.6451066172492
58-64 Franklin Street,Melbourne (CBD),3000,Flat,686.6236186554921
