address,suburb,postcode,roof_type,green_area
2-14 Hope Street,South Yarra,3141,Flat,42.46119943963264
2-14 Hope Street,South Yarra,3141,Flat,42.46119943963264
2-14 Hope Street,South Yarra,3141,Flat,42.46119943963264
2-14 Hope Street,South Yarra,3141,Flat,42.46119943963264
77-83 Royal Parade,Parkville,3052,Flat,42.46119943963264
77-83 Royal Parade,Parkville,3052,Flat,42.46119943963264
77-83 Royal Parade,Parkville,3052,Hip,42.46119943963264
77-83 Royal Parade,Parkville,3052,Hip,42.46119943963264
77-83 Royal Parade,Parkville,3052,Flat,42.400960720554295
77-83 Royal Parade,Parkville,3052,Flat,42.400960720554295
94 Carlton Street,Carlton,3053,Hip,42.400960720554295
94 Carlton Street,Carlton,3053,Hip,42.46119943963264
250 Rathdowne Street,Carlton,3053,Flat,42.46119943963264
250 Rathdowne Street,Carlton,3053,Flat,42.46119943963264
133 Powlett Street,East Melbourne,3002,Hip,42.46119943963264
133 Powlett Street,East Melbourne,3002,Hip,26.88827505058998
45 Erskine Street,North Melbourne,3051,Gable,26.88827505058998
45 Erskine Street,North Melbourne,3051,Gable,42.46119943963264
27-29 Albert Street,East Melbourne,3002,Hip,42.46119943963264
27-29 Albert Street,East Melbourne,3002,Hip,42.46119943963264
201-203 Errol Street,North Melbourne,3051,Flat,42.46119943963264
201-203 Errol Street,North Melbourne,3051,Hip,42.46119943963264
201-203 Errol Street,North Melbourne,3051,Hip,42.46119943963264
105 Parkville Avenue,Parkville,3052,Hip,42.46119943963264
105 Parkville Avenue,Parkville,3052,Hip,42.46119943963264
148B Kensington Road,Kensington,3031,Hip,42.46119943963264
148B Kensington Road,Kensington,3031,Hip,42.46119943963264
30 Epsom Road,Kensington,3031,Flat,42.46119943963264
30 Epsom Road,Kensington,3031,Flat,42.46119943963264
30 Epsom Road,Kensington,3031,Gable,42.46119943963264
30 Epsom Road,Kensington,3031,Gable,3.9483151216699763
37-43 Caravel Lane,Docklands,3008,Flat,3.9483151216699763
The Nolan 37-43 Caravel Lane,Docklands,3008,Flat,42.46119943963264
8-10 Marne Street,South Yarra,3141,Hip,42.46119943963264
8-10 Marne Street,South Yarra,3141,Hip,42.46119943963264
14 Benjamin Street,Parkville,3052,Gable,42.46119943963264
505 Royal Parade,Parkville,3052,Hip,42.46119943963264
505 Royal Parade,Parkville,3052,Hip,42.46119943963264
76-78 Gipps Street,East Melbourne,3002,Gable,42.46119943963264
76-78 Gipps Street,East Melbourne,3002,Gable,42.46119943963264
33 Grey Street,East Melbourne,3002,Hip,42.46119943963264
33 Grey Street,East Melbourne,3002,Hip,42.46119943963264
60 Howard Street,North Melbourne,3051,Flat,42.46119943963264
14 Scotia Street,North Melbourne,3051,Flat,42.46119943963264
14 Scotia Street,North Melbourne,3051,Flat,42.46119943963264
14 Scotia Street,North Melbourne,3051,Flat,42.46119943963264
14 Scotia Street,North Melbourne,3051,Flat,42.46119943963264
180-184 Victoria Parade,East Melbourne,3002,Flat,42.46119943963264
180-184 Victoria Parade,East Melbourne,3002,Flat,42.46119943963264
19 Baulderstone Walk,Kensington,3031,Gable,42.46119943963264
19 Baulderstone Walk,Kensington,3031,Gable,42.46119943963264
480-490 Collins Street,Melbourne (CBD),3000,Flat,42.46119943963264
480-490 Collins Street,Melbourne (CBD),3000,Flat,42.46119943963264
480-490 Collins Street,Melbourne (CBD),3000,Flat,42.46119943963264
480-490 Collins Street,Melbourne (CBD),3000,Flat,38.09391519858234
480-490 Collins Street,Melbourne (CBD),3000,Flat,38.09391519858234
480-490 Collins Street,Melbourne (CBD),3000,Flat,38.09391519858234
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,42.46119943963264
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,42.46119943963264
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,42.46119943963264
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,42.46119943963264
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,132.00864797366987
13-15 Exploration Lane,Melbourne (CBD),3000,Flat,132.00864797366987
15 Matthews Mews,Kensington,3031,Gable,132.00864797366987
15 Matthews Mews,Kensington,3031,Gable,132.00864797366987
416-418 Dryburgh Street,North Melbourne,3051,Flat,44.64361379729496
416-418 Dryburgh Street,North Melbourne,3051,Flat,132.00864797366987
51-55 Clowes Street,South Yarra,3141,Flat,132.00864797366987
51-55 Clowes Street,South Yarra,3141,Flat,132.00864797366987
514-520 Swanston Street,Carlton,3053,Flat,132.00864797366987
514-520 Swanston Street,Carlton,3053,Flat,132.00864797366987
459 Dryburgh Street,North Melbourne,3051,Flat,132.00864797366987
459 Dryburgh Street,North Melbourne,3051,Flat,132.00864797366987
218A Adderley Street,West Melbourne (Residential),3003,Hip,132.00864797366987
218A Adderley Street,West Melbourne (Residential),3003,Hip,132.00864797366987
464-468 William Street,West Melbourne (Residential),3003,Flat,132.00864797366987
464-468 William Street,West Melbourne (Residential),3003,Flat,132.00864797366987
58 Faraday Street,Carlton,3053,Gable,132.00864797366987
58 Faraday Street,Carlton,3053,Gable,47.02411592091022
94 Chapman Street,North Melbourne,3051,Flat,47.02411592091022
94 Chapman Street,North Melbourne,3051,Flat,132.00864797366987
348-358 La Trobe Street,Melbourne (CBD),3000,Flat,132.00864797366987
Centro Apartments 348-358 La Trobe Street,Melbourne (CBD),3000,Flat,132.00864797366987
108 Kensington Road,Kensington,3031,Flat,132.00864797366987
108A Kensington Road,Kensington,3031,Flat,132.00864797366987
108 Kensington Road,Kensington,3031,Flat,132.00864797366987
12 Magenta Place,Carlton,3053,Flat,132.00864797366987
12 Magenta Place,Carlton,3053,Flat,132.00864797366987
152 Victoria Parade,East Melbourne,3002,Hip,127.56377026162687
150 Victoria Parade,East Melbourne,3002,Hip,127.56377026162687
146-152 Victoria Parade,East Melbourne,3002,Hip,132.00864797366987
146-152 Victoria Parade,East Melbourne,3002,Hip,132.00864797366987
146-148 Victoria Parade,East Melbourne,3002,Hip,132.00864797366987
29 Ireland Street,West Melbourne (Residential),3003,Flat,132.00864797366987
29 Ireland Street,West Melbourne (Residential),3003,Flat,132.00864797366987
1-3 Musgrove Mews,Kensington,3031,Hip,132.00864797366987
1-3 Musgrove Mews,Kensington,3031,Hip,132.00864797366987
9 Scarborough Place,Kensington,3031,Flat,132.00864797366987
9 Scarborough Place,Kensington,3031,Flat,132.00864797366987
17A Sutton Street,North Melbourne,3051,Flat,132.00864797366987
17A Sutton Street,North Melbourne,3051,Flat,132.00864797366987
203-225 Cardigan Street,Carlton,3053,Flat,132.00864797366987
203-225 Cardigan Street,Carlton,3053,Flat,132.00864797366987
2 Shiel Street,North Melbourne,3051,Flat,132.00864797366987
2 Shiel Street,North Melbourne,3051,Flat,132.00864797366987
180 Errol Street,North Melbourne,3051,Flat,132.00864797366987
180 Errol Street,North Melbourne,3051,Flat,21.93191305154355
295 Victoria Street,West Melbourne (Residential),3003,Hip,21.93191305154355
295 Victoria Street,West Melbourne (Residential),3003,Hip,0.7969610303810247
61 Keppel Street,Carlton,3053,Hip,0.7969610303810247
61 Keppel Street,Carlton,3053,Hip,57.07674238285592
12 Hawke Street,West Melbourne (Residential),3003,Gable,0.27304577280913284
12 Hawke Street,West Melbourne (Residential),3003,Gable,0.27304577280913284
26 Tennyson Street,Kensington,3031,Hip,57.07674238285592
26 Tennyson Street,Kensington,3031,Hip,57.07674238285592
248-250 Sturt Street,Southbank,3006,Flat,57.07674238285592
248-250 Sturt Street,Southbank,3006,Flat,57.07674238285592
221-223 Domain Road,South Yarra,3141,Hip,57.07674238285592
221-223 Domain Road,South Yarra,3141,Hip,57.07674238285592
55 Epsom Road,Kensington,3031,Hip,40.97310535750851
55 Epsom Road,Kensington,3031,Hip,40.97310535750851
15 McCracken Street,Kensington,3031,Hip,57.07674238285592
15 McCracken Street,Kensington,3031,Hip,28.430844249885162
59 Derby Street,Kensington,3031,Hip,28.430844249885162
59 Derby Street,Kensington,3031,Hip,57.07674238285592
69 Leveson Street,North Melbourne,3051,Flat,57.07674238285592
69 Leveson Street,North Melbourne,3051,Flat,57.07674238285592
20 Kirk Street,Kensington,3031,Gable,46.80926206152541
20 Kirk Street,Kensington,3031,Gable,46.80926206152541
122-130 Wellington Parade,East Melbourne,3002,Flat,46.80926206152541
122-130 Wellington Parade,East Melbourne,3002,Flat,46.80926206152541
47 Berry Street,East Melbourne,3002,Flat,0.051945876190464535
47 Berry Street,East Melbourne,3002,Flat,46.80926206152541
545 Rathdowne Street,Carlton,3053,Flat,46.80926206152541
545 Rathdowne Street,Carlton,3053,Flat,46.80926206152541
525 Rathdowne Street,Carlton,3053,Flat,13.461382732541248
525 Rathdowne Street,Carlton,3053,Flat,13.461382732541248
515-545 Rathdowne Street,Carlton,3053,Flat,46.80926206152541
515-545 Rathdowne Street,Carlton,3053,Flat,46.80926206152541
768-800 Swanston Street,Carlton,3053,Flat,46.80926206152541
768-804 Swanston Street,Carlton,3053,Flat,46.80926206152541
115 Rankins Road,Kensington,3031,Flat,46.80926206152541
115 Rankins Road,Kensington,3031,Flat,46.80926206152541
2 Anderson Walk,Kensington,3031,Gable,46.80926206152541
21-23 Gregory Lane,Kensington,3031,Hip,18.919761017410128
118-120 Anderson Street,South Yarra,3141,Flat,46.80926206152541
118-120 Anderson Street,South Yarra,3141,Flat,46.80926206152541
97 Princes Street,Carlton,3053,Gable,46.80926206152541
97 Princes Street,Carlton,3053,Gable,46.80926206152541
184 Peel Street,North Melbourne,3051,Gable,46.80926206152541
184 Peel Street,North Melbourne,3051,Gable,159.02294622051886
306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
Elm Towers Apartments 306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
Elm Towers Apartments 306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,7.435164584201396
306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
Elm Towers Apartments 306-320 Little Lonsdale Street,Melbourne (CBD),3000,Flat,159.02294622051886
14-18 Pasley Street,South Yarra,3141,Hip,159.02294622051886
14-18 Pasley Street,South Yarra,3141,Hip,105.86209898564618
27-39 MacKenzie Street,Melbourne (CBD),3000,Flat,105.86209898564618
MacKenzie Tower 27-39 MacKenzie Street,Melbourne (CBD),3000,Flat,159.02294622051886
27-39 MacKenzie Street,Melbourne (CBD),3000,Flat,159.02294622051886
MacKenzie Tower 27-39 MacKenzie Street,Melbourne (CBD),3000,Flat,16.554241759630443
6 Howard Street,North Melbourne,3051,Hip,16.554241759630443
6 Howard Street,North Melbourne,3051,Hip,159.02294622051886
111 Cardigan Street,Carlton,3053,Flat,159.02294622051886
111 Cardigan Street,Carlton,3053,Flat,95.84253530452898
46 Airlie Street,South Yarra,3141,Hip,95.84253530452898
46 Airlie Street,South Yarra,3141,Hip,159.02294622051886
46 Airlie Street,South Yarra,3141,Hip,159.02294622051886
46 Airlie Street,South Yarra,3141,Hip,159.02294622051886
39 Cakebread Mews,Kensington,3031,Hip,92.78161859109652
39 Cakebread Mews,Kensington,3031,Hip,159.02294622051886
13 The Ridgeway,Kensington,3031,Gable,159.02294622051886
13 The Ridgeway,Kensington,3031,Gable,159.02294622051886
25 Francis Lane,Kensington,3031,Gable,159.02294622051886
25 Francis Lane,Kensington,3031,Gable,0.9738566977553634
82 Curzon Street,North Melbourne,3051,Hip,159.02294622051886
82 Curzon Street,North Melbourne,3051,Hip,4.313666863759591
24 Carlton Street,Carlton,3053,Gable,1.7188835094740693
24 Carlton Street,Carlton,3053,Gable,0.9762157750295783
26 Curran Street,North Melbourne,3051,Flat,8.580884771588373
26 Curran Street,North Melbourne,3051,Flat,246.84697167127155
71 Westbourne Road,Kensington,3031,Hip,246.84697167127155
71 Westbourne Road,Kensington,3031,Hip,248.97938417267773
67 Market Street,Kensington,3031,Hip,248.97938417267773
67 Market Street,Kensington,3031,Hip,102.01630100265392
32 Barkly Street,Carlton,3053,Gable,348.0147964756849
32 Barkly Street,Carlton,3053,Gable,348.0147964756849
380-386 Little Lonsdale Street,Melbourne (CBD),3000,Flat,348.0147964756849
La Banque Apartments 380-386 Little Lonsdale Street,Melbourne (CBD),3000,Flat,326.0154656449579
46 Alfred Street,North Melbourne,3051,Flat,326.0154656449579
21 Epsom Road,Kensington,3031,Hip,348.0147964756849
21 Epsom Road,Kensington,3031,Hip,348.0147964756849
24-26 Southgate Avenue,Southbank,3006,Flat,348.0147964756849
Quay West Apartments 24-26 Southgate Avenue,Southbank,3006,Flat,39.57611204482847
24-26 Southgate Avenue,Southbank,3006,Flat,39.57611204482847
Quay West Apartments 24-26 Southgate Avenue,Southbank,3006,Flat,86.39606734738238
24-26 Southgate Avenue,Southbank,3006,Flat,86.39606734738238
Quay West Apartments 24-26 Southgate Avenue,Southbank,3006,Flat,229.29630336656825
24-26 Southgate Avenue,Southbank,3006,Flat,229.29630336656825
Quay West Apartments 24-26 Southgate Avenue,Southbank,3006,Flat,188.45140517686622
136B Kensington Road,Kensington,3031,Gable,188.45140517686622
136B Kensington Road,Kensington,3031,Gable,188.45140517686622
33 Clarke Street,Southbank,3006,Flat,348.0147964756849
33 Clarke Street,Southbank,3006,Flat,348.0147964756849
33 Clarke Street,Southbank,3006,Gable,348.0147964756849
33 Clarke Street,Southbank,3006,Gable,348.0147964756849
4 Smorgon Square,Kensington,3031,Flat,260.13046760887823
5 Lincoln Mews,Kensington,3031,Flat,260.13046760887823
5 Lincoln Mews,Kensington,3031,Flat,348.0147964756849
26 Musgrove Mews,Kensington,3031,Gable,348.0147964756849
26 Musgrove Mews,Kensington,3031,Gable,48.39985242943377
29 Wolseley Parade,Kensington,3031,Hip,348.0147964756849
29 Wolseley Parade,Kensington,3031,Hip,61.24813813352387
29-31 Agnes Street,East Melbourne,3002,Flat,101.68390415715812
29-31 Agnes Street,East Melbourne,3002,Flat,48.38496572027765
29-31 Agnes Street,East Melbourne,3002,Flat,54.161062836924245
36 Ormond Street,Kensington,3031,Flat,348.0147964756849
36 Ormond Street,Kensington,3031,Flat,348.0147964756849
5 Smyth Mews,North Melbourne,3051,Flat,246.84697167127155
5 Smyth Mews,North Melbourne,3051,Flat,246.84697167127155
21 McCracken Street,Kensington,3031,Hip,248.97938417267773
21 McCracken Street,Kensington,3031,Hip,248.97938417267773
21 Westbourne Road,Kensington,3031,Flat,102.01630100265392
21 Westbourne Road,Kensington,3031,Flat,348.0147964756849
55 Berry Street,East Melbourne,3002,Hip,348.0147964756849
55 Berry Street,East Melbourne,3002,Hip,348.0147964756849
1-15 Queensberry Street,Carlton,3053,Flat,326.0154656449579
Panorama On Rathdowne 1-15 Queensberry Street,Carlton,3053,Flat,326.0154656449579
1-15 Queensberry Street,Carlton,3053,Flat,348.0147964756849
Panorama On Rathdowne 1-15 Queensberry Street,Carlton,3053,Flat,348.0147964756849
78 Kensington Road,Kensington,3031,Gable,348.0147964756849
78 Kensington Road,Kensington,3031,Gable,39.57611204482847
7-9 Argyle Place East,Carlton,3053,Flat,39.57611204482847
26 Drummond Place,Carlton,3053,Flat,86.39606734738238
7-9 Argyle Place East,Carlton,3053,Flat,86.39606734738238
26 Drummond Place,Carlton,3053,Flat,229.29630336656825
7-9 Argyle Place East,Carlton,3053,Flat,229.29630336656825
26 Drummond Place,Carlton,3053,Flat,188.45140517686622
2A Chapman Street,North Melbourne,3051,Gable,188.45140517686622
53-63 Queensberry Street,Carlton,3053,Gable,188.45140517686622
53-63 Queensberry Street,Carlton,3053,Gable,348.0147964756849
10-12 Collins Street,Melbourne (CBD),3000,Flat,348.0147964756849
10-12 Collins Street,Melbourne (CBD),3000,Flat,348.0147964756849
10-12 Collins Street,Melbourne (CBD),3000,Flat,348.0147964756849
10-12 Collins Street,Melbourne (CBD),3000,Flat,260.13046760887823
180-184 Flinders Lane,Melbourne (CBD),3000,Flat,260.13046760887823
14-16 Watson Place,Melbourne (CBD),3000,Flat,348.0147964756849
180-184 Flinders Lane,Melbourne (CBD),3000,Flat,348.0147964756849
14-16 Watson Place,Melbourne (CBD),3000,Flat,48.39985242943377
72-74 Simpson Street,East Melbourne,3002,Flat,348.0147964756849
72-74 Simpson Street,East Melbourne,3002,Flat,61.24813813352387
324 Cardigan Street,Carlton,3053,Gable,101.68390415715812
324 Cardigan Street,Carlton,3053,Gable,48.38496572027765
592 Spencer Street,West Melbourne (Residential),3003,Gable,54.161062836924245
592 Spencer Street,West Melbourne (Residential),3003,Gable,348.0147964756849
23 The Righi,South Yarra,3141,Hip,348.0147964756849
23 The Righi,South Yarra,3141,Hip,695.1955701014851
7-9 Kipling Street,North Melbourne,3051,Gable,695.1955701014851
7-9 Kipling Street,North Melbourne,3051,Gable,736.5499903705926
79 Leopold Street,South Yarra,3141,Flat,736.5499903705926
79 Leopold Street,South Yarra,3141,Flat,763.6451066172492
123 Gipps Street,East Melbourne,3002,Hip,763.6451066172492
123 Gipps Street,East Melbourne,3002,Hip,763.6451066172492
127-131 Wellington Parade South,East Melbourne,3002,Flat,763.6451066172492
127-131 Wellington Parade South,East Melbourne,3002,Flat,720.780811073536
127-131 Wellington Parade South,East Melbourne,3002,Flat,720.780811073536
70-74 Tennyson Street,Kensington,3031,Flat,763.6451066172492
70-74 Tennyson Street,Kensington,3031,Flat,763.6451066172492
13-15 Clowes Street,South Yarra,3141,Flat,763.6451066172492
13-15 Clowes Street,South Yarra,3141,Flat,474.4017434721708
5 Robertson Street,Kensington,3031,Hip,474.4017434721708
5 Robertson Street,Kensington,3031,Hip,430.6292550606545
140 Queensberry Street,Carlton,3053,Flat,430.6292550606545
140 Queensberry Street,Carlton,3053,Flat,763.6451066172492
40 Little Bendall Street,Kensington,3031,Flat,763.6451066172492
40 Little Bendall Street,Kensington,3031,Flat,45.16526172584273
59 Little Palmerston Street,Carlton,3053,Gable,763.6451066172492
59 Little Palmerston Street,Carlton,3053,Gable,763.6451066172492
139-143 Bouverie Street,Carlton,3053,Flat,473.8504616394689
139-143 Bouverie Street,Carlton,3053,Flat,473.8504616394689
139-143 Bouverie Street,Carlton,3053,Flat,17.713729566495488
139-143 Bouverie Street,Carlton,3053,Flat,17.713729566495488
15-17 Charles Street,Carlton,3053,Gable,214.89597598629334
15-17 Charles Street,Carlton,3053,Gable,214.89597598629334
51 Berry Street,East Melbourne,3002,Hip,58.10306834555854
51 Berry Street,East Melbourne,3002,Hip,58.10306834555854
34-36 Fairbairn Drive,Kensington,3031,Gable,45.6888176165123
34-36 Fairbairn Drive,Kensington,3031,Gable,45.6888176165123
132-136 Elgin Street,Carlton,3053,Flat,673.0290697705539
132-136 Elgin Street,Carlton,3053,Flat,673.0290697705539
132-136 Elgin Street,Carlton,3053,Flat,322.97096749015844
132-136 Elgin Street,Carlton,3053,Flat,322.97096749015844
132-136 Elgin Street,Carlton,3053,Flat,317.85230007095436
132-136 Elgin Street,Carlton,3053,Flat,317.85230007095436
9-11 Altona Street,Kensington,3031,Flat,340.05681757085375
9-11 Altona Street,Kensington,3031,Flat,106.32780597850775
46 Berry Street,East Melbourne,3002,Flat,106.32780597850775
46 Berry Street,East Melbourne,3002,Flat,425.2814864752142
60-80 Miller Street,West Melbourne (Residential),3003,Flat,425.2814864752142
60-80 Miller Street,West Melbourne (Residential),3003,Flat,763.6451066172492
60-80 Miller Street,West Melbourne (Residential),3003,Flat,763.6451066172492
60-80 Miller Street,West Melbourne (Residential),3003,Flat,763.6451066172492
69 Rosslyn Street,West Melbourne (Residential),3003,Hip,3.656089871160823
22 Rourke Lane,Kensington,3031,Flat,3.656089871160823
22 Rourke Lane,Kensington,3031,Flat,7.503695858207584
34 The Ridgeway,Kensington,3031,Hip,7.503695858207584
34 The Ridgeway,Kensington,3031,Hip,747.9315958935698
62 Parsons Street,Kensington,3031,Flat,747.9315958935698
62 Parsons Street,Kensington,3031,Flat,763.6451066172492
54 Story Street,Parkville,3052,Hip,763.6451066172492
54 Story Street,Parkville,3052,Hip,31.972594020908563
