id,common_name,scientific_name,dimensions,depth_water_requirement,volume_water_requirement,watering_general_benchmark,plant_anatomy,cycle,watering,sunlight,default_image,original_url,watering_guide
425,flowering-maple,['Abutilon hybridum'],"{'type': None, 'min_value': 2, 'max_value': 4, 'unit': 'feet'}",[],[],"{'value': '7-10', 'unit': 'days'}","[{'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['green']}, {'part': 'flower', 'color': ['pink', 'white', 'white-yellow']}, {'part': 'pistils', 'color': ['yellow']}]",perennial,frequent,"['full sun', 'part shade']","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/425_abutilon_hybridum/og/24527654869_ac712f58c7_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/425_abutilon_hybridum/regular/24527654869_ac712f58c7_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/425_abutilon_hybridum/medium/24527654869_ac712f58c7_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/425_abutilon_hybridum/small/24527654869_ac712f58c7_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/425_abutilon_hybridum/thumbnail/24527654869_ac712f58c7_b.jpg'}",https://perenual.com/storage/species_image/425_abutilon_hybridum/og/24527654869_ac712f58c7_b.jpg,This plant generally waters 7-10 times per day
426,flowering-maple,"[""Abutilon hybridum 'Bella Red'""]","{'type': None, 'min_value': 1, 'max_value': 1.5, 'unit': 'feet'}","{'unit': 'inch', 'value': '1'}",[],"{'value': None, 'unit': 'days'}",[],perennial,average,"['full sun', 'part shade']","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'original_url': 'https://perenual.com/storage/species_image/426_abutilon_hybridum_bella_red/og/abutilon-mallow-flower-red.jpg', 'regular_url': 'https://perenual.com/storage/species_image/426_abutilon_hybridum_bella_red/regular/abutilon-mallow-flower-red.jpg', 'medium_url': 'https://perenual.com/storage/species_image/426_abutilon_hybridum_bella_red/medium/abutilon-mallow-flower-red.jpg', 'small_url': 'https://perenual.com/storage/species_image/426_abutilon_hybridum_bella_red/small/abutilon-mallow-flower-red.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/426_abutilon_hybridum_bella_red/thumbnail/abutilon-mallow-flower-red.jpg'}",https://perenual.com/storage/species_image/426_abutilon_hybridum_bella_red/og/abutilon-mallow-flower-red.jpg,This plant generally waters 7-10 times per day
427,flowering-maple,"[""Abutilon 'Moonchimes'""]","{'type': None, 'min_value': 2, 'max_value': 3, 'unit': 'feet'}",[],[],"{'value': None, 'unit': 'days'}",[],perennial,average,"['full sun', 'part shade']","{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'original_url': 'https://perenual.com/storage/species_image/427_abutilon_moonchimes/og/Abutilon_x_hybridum_27Moonchimes27_Flower_2800px.jpg', 'regular_url': 'https://perenual.com/storage/species_image/427_abutilon_moonchimes/regular/Abutilon_x_hybridum_27Moonchimes27_Flower_2800px.jpg', 'medium_url': 'https://perenual.com/storage/species_image/427_abutilon_moonchimes/medium/Abutilon_x_hybridum_27Moonchimes27_Flower_2800px.jpg', 'small_url': 'https://perenual.com/storage/species_image/427_abutilon_moonchimes/small/Abutilon_x_hybridum_27Moonchimes27_Flower_2800px.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/427_abutilon_moonchimes/thumbnail/Abutilon_x_hybridum_27Moonchimes27_Flower_2800px.jpg'}",https://perenual.com/storage/species_image/427_abutilon_moonchimes/og/Abutilon_x_hybridum_27Moonchimes27_Flower_2800px.jpg,This plant generally waters 7-10 times per day
428,flowering-maple,"[""Abutilon pictum 'Gold Dust'""]","{'type': None, 'min_value': 10, 'max_value': 15, 'unit': 'feet'}",[],[],"{'value': '3-4', 'unit': 'days'}",[],perennial,average,['full sun'],"{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'original_url': 'https://perenual.com/storage/species_image/428_abutilon_pictum_gold_dust/og/Redvein_Abutilon.jpg', 'regular_url': 'https://perenual.com/storage/species_image/428_abutilon_pictum_gold_dust/regular/Redvein_Abutilon.jpg', 'medium_url': 'https://perenual.com/storage/species_image/428_abutilon_pictum_gold_dust/medium/Redvein_Abutilon.jpg', 'small_url': 'https://perenual.com/storage/species_image/428_abutilon_pictum_gold_dust/small/Redvein_Abutilon.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/428_abutilon_pictum_gold_dust/thumbnail/Redvein_Abutilon.jpg'}",https://perenual.com/storage/species_image/428_abutilon_pictum_gold_dust/og/Redvein_Abutilon.jpg,This plant generally waters 3-4 times per day
434,Jacob's coat,['Acalypha wilkesiana'],"{'type': None, 'min_value': 2, 'max_value': 4, 'unit': 'feet'}",[],[],"{'value': '3-4', 'unit': 'days'}","[{'part': 'leaves', 'color': ['yellow-orange-red-pink']}, {'part': 'stem', 'color': ['brown']}]",perennial,frequent,"['full sun', 'part shade']","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/434_acalypha_wilkesiana/og/24945289366_5035e5d0a9_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/434_acalypha_wilkesiana/regular/24945289366_5035e5d0a9_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/434_acalypha_wilkesiana/medium/24945289366_5035e5d0a9_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/434_acalypha_wilkesiana/small/24945289366_5035e5d0a9_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/434_acalypha_wilkesiana/thumbnail/24945289366_5035e5d0a9_b.jpg'}",https://perenual.com/storage/species_image/434_acalypha_wilkesiana/og/24945289366_5035e5d0a9_b.jpg,This plant generally waters 3-4 times per day
540,desert rose,['Adenium obesum'],"{'type': None, 'min_value': 3, 'max_value': 9, 'unit': 'feet'}","{'unit': 'inches', 'value': '10'}",[],"{'value': '7-10', 'unit': 'days'}","[{'part': 'flowers', 'color': ['pink-white']}, {'part': 'leaves', 'color': ['green']}, {'part': 'flower', 'color': ['pink-white']}, {'part': 'stem', 'color': ['gray']}]",perennial,minimum,['full sun'],"{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'original_url': 'https://perenual.com/storage/species_image/540_adenium_obesum/og/9244335137_6d662ed77c_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/540_adenium_obesum/regular/9244335137_6d662ed77c_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/540_adenium_obesum/medium/9244335137_6d662ed77c_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/540_adenium_obesum/small/9244335137_6d662ed77c_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/540_adenium_obesum/thumbnail/9244335137_6d662ed77c_b.jpg'}",https://perenual.com/storage/species_image/540_adenium_obesum/og/9244335137_6d662ed77c_b.jpg,This plant generally waters 7-10 times per day
543,maidenhair fern,['Adiantum capillus-veneris'],"{'type': None, 'min_value': 0.75, 'max_value': 1.5, 'unit': 'feet'}",[],[],"{'value': '2-3', 'unit': 'days'}","[{'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['brown']}]",perennial,average,"['part shade', 'part sun/part shade']","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/543_adiantum_capillus-veneris/og/49636882698_cb4fa4c685_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/543_adiantum_capillus-veneris/regular/49636882698_cb4fa4c685_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/543_adiantum_capillus-veneris/medium/49636882698_cb4fa4c685_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/543_adiantum_capillus-veneris/small/49636882698_cb4fa4c685_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/543_adiantum_capillus-veneris/thumbnail/49636882698_cb4fa4c685_b.jpg'}",https://perenual.com/storage/species_image/543_adiantum_capillus-veneris/og/49636882698_cb4fa4c685_b.jpg,This plant generally waters 2-3 times per day
546,delta maidenhair fern,['Adiantum raddianum'],"{'type': None, 'min_value': 1, 'max_value': 2, 'unit': 'feet'}",[],[],"{'value': '2-3', 'unit': 'days'}","[{'part': 'leaves', 'color': ['green']}, {'part': 'stems', 'color': ['brown']}]",perennial,average,['part shade'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/546_adiantum_raddianum/og/48134564587_c4562175cb_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/546_adiantum_raddianum/regular/48134564587_c4562175cb_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/546_adiantum_raddianum/medium/48134564587_c4562175cb_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/546_adiantum_raddianum/small/48134564587_c4562175cb_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/546_adiantum_raddianum/thumbnail/48134564587_c4562175cb_b.jpg'}",https://perenual.com/storage/species_image/546_adiantum_raddianum/og/48134564587_c4562175cb_b.jpg,This plant generally waters 2-3 times per day
549,urn plant,['Aechmea fasciata'],"{'type': None, 'min_value': 1, 'max_value': 3, 'unit': 'feet'}",[],[],"{'value': '1-2', 'unit': 'days'}","[{'part': 'flower', 'color': ['light-pink']}, {'part': 'buds', 'color': ['pink-blue', 'purple-blue']}, {'part': 'leaves', 'color': ['green', 'green-white']}]",perennial,average,['part sun/part shade'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/549_aechmea_fasciata/og/51446529161_03b99a881f_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/549_aechmea_fasciata/regular/51446529161_03b99a881f_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/549_aechmea_fasciata/medium/51446529161_03b99a881f_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/549_aechmea_fasciata/small/51446529161_03b99a881f_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/549_aechmea_fasciata/thumbnail/51446529161_03b99a881f_b.jpg'}",https://perenual.com/storage/species_image/549_aechmea_fasciata/og/51446529161_03b99a881f_b.jpg,This plant generally waters 1-2 times per day
551,stalked aeonium,['Aeonium undulatum'],"{'type': None, 'min_value': 2, 'max_value': 3, 'unit': 'feet'}",[],[],"{'value': '7-10', 'unit': 'days'}",[],herbaceous perennial,average,"['full sun', 'part shade']","{'license': 44, 'license_name': 'Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/4.0/', 'original_url': 'https://perenual.com/storage/species_image/551_aeonium_undulatum/og/023e2628848775ea95af34a39eaee4d60fab11ed.jpg', 'regular_url': 'https://perenual.com/storage/species_image/551_aeonium_undulatum/regular/023e2628848775ea95af34a39eaee4d60fab11ed.jpg', 'medium_url': 'https://perenual.com/storage/species_image/551_aeonium_undulatum/medium/023e2628848775ea95af34a39eaee4d60fab11ed.jpg', 'small_url': 'https://perenual.com/storage/species_image/551_aeonium_undulatum/small/023e2628848775ea95af34a39eaee4d60fab11ed.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/551_aeonium_undulatum/thumbnail/023e2628848775ea95af34a39eaee4d60fab11ed.jpg'}",https://perenual.com/storage/species_image/551_aeonium_undulatum/og/023e2628848775ea95af34a39eaee4d60fab11ed.jpg,This plant generally waters 7-10 times per day
